score_set,n_experts,number_of_dimensions,kendalls_w,chi_square,degrees_of_freedom,p_value,tie_correction
Round 1,4,6,0.10504201680672269,2.100840336134454,5,0.8350232859238381,126.0
Round 2,4,6,0.5666666666666667,11.333333333333332,5,0.04515717209605599,210.0
Arithmetic mean of rounds,4,6,0.23760330578512398,4.75206611570248,5,0.44688138572570624,114.0
