study,sample,measure,score_set,dimension,n,mean,sd,median,q1,q3,iqr,median_iqr,rating_at_least_4_n,rating_at_least_4_proportion,rating_at_least_4_ci_95_low,rating_at_least_4_ci_95_high,rating_at_least_4_ci_method,rating_1_n,rating_1_proportion,rating_2_n,rating_2_proportion,rating_3_n,rating_3_proportion,rating_4_n,rating_4_proportion,rating_5_n,rating_5_proportion,noninteger_rating_n,distribution_count_total
report_quality_evaluation,Teachers,Teacher-perceived endorsement proportions,not_applicable,Antecedent identification,121,4.1570247933884295,0.6056437960662179,4.0,4.0,5.0,1.0,4.00 (4.00-5.00),111,0.9173553719008265,0.854535161068024,0.9544909505625935,Wilson,0,0.0,2,0.01652892561983471,8,0.06611570247933884,80,0.6611570247933884,31,0.256198347107438,0,121
report_quality_evaluation,Teachers,Teacher-perceived endorsement proportions,not_applicable,Consequence identification,121,4.264462809917355,0.7828217660204473,4.0,4.0,5.0,1.0,4.00 (4.00-5.00),107,0.8842975206611571,0.8151300267053524,0.9298148087565034,Wilson,1,0.008264462809917356,3,0.024793388429752067,10,0.08264462809917356,56,0.4628099173553719,51,0.4214876033057851,0,121
report_quality_evaluation,Teachers,Teacher-perceived endorsement proportions,not_applicable,Setting-event identification,121,4.1735537190082646,0.7711213258453911,4.0,4.0,5.0,1.0,4.00 (4.00-5.00),105,0.8677685950413223,0.7959633756720691,0.9169408217054055,Wilson,1,0.008264462809917356,3,0.024793388429752067,12,0.09917355371900827,63,0.5206611570247934,42,0.34710743801652894,0,121
report_quality_evaluation,Teachers,Teacher-perceived endorsement proportions,not_applicable,Core function hypothesis,121,4.256198347107438,0.7015331498443809,4.0,4.0,5.0,1.0,4.00 (4.00-5.00),107,0.8842975206611571,0.8151300267053524,0.9298148087565034,Wilson,0,0.0,2,0.01652892561983471,12,0.09917355371900827,60,0.49586776859504134,47,0.3884297520661157,0,121
report_quality_evaluation,Teachers,Teacher-perceived endorsement proportions,not_applicable,Replacement-behavior recommendation,121,4.181818181818182,0.7852812659593165,4.0,4.0,5.0,1.0,4.00 (4.00-5.00),105,0.8677685950413223,0.7959633756720691,0.9169408217054055,Wilson,2,0.01652892561983471,1,0.008264462809917356,13,0.10743801652892562,62,0.512396694214876,43,0.35537190082644626,0,121
report_quality_evaluation,Teachers,Teacher-perceived endorsement proportions,not_applicable,Overall rating,121,4.107438016528926,0.6027942281929214,4.0,4.0,4.0,0.0,4.00 (4.00-4.00),112,0.9256198347107438,0.8646691146497353,0.9603773160230725,Wilson,1,0.008264462809917356,1,0.008264462809917356,7,0.05785123966942149,87,0.71900826446281,25,0.2066115702479339,0,121
